                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.97788,                 0.6795,                 1.0476,                 0.8081,                0.64024,                0.74239,                0.45055,                 1.4953,                 1.1014,                 1.3894,             0.00045904,             0.00045904,             0.00045904
                     78,                0.96905,                0.66157,                 1.0488,                0.75637,                0.69197,                0.73636,                0.43619,                 1.5482,                 1.1314,                 1.4267,             0.00045305,             0.00045305,             0.00045305
                     79,                0.97026,                  0.669,                  1.047,                0.78128,                0.69785,                  0.742,                0.44224,                  1.542,                 1.1248,                 1.4115,             0.00044705,             0.00044705,             0.00044705
                     80,                 0.9596,                 0.6623,                 1.0297,                0.79689,                0.68991,                0.73843,                0.45408,                 1.5032,                 1.1372,                 1.3999,             0.00044105,             0.00044105,             0.00044105
                     81,                0.96812,                 0.6519,                 1.0342,                0.78021,                0.67788,                0.74144,                0.45209,                 1.4878,                  1.122,                  1.382,             0.00043505,             0.00043505,             0.00043505
                     82,                0.98065,                0.66017,                 1.0364,                0.75626,                0.67882,                0.73622,                0.44287,                 1.4962,                 1.1538,                 1.3868,             0.00042905,             0.00042905,             0.00042905
                     83,                0.95992,                0.64975,                 1.0335,                0.80605,                0.66315,                0.74402,                0.44975,                 1.4849,                 1.1595,                 1.3727,             0.00042305,             0.00042305,             0.00042305
                     84,                0.96886,                0.67056,                 1.0453,                0.76468,                0.69611,                0.73926,                0.45588,                 1.5055,                 1.1487,                 1.3877,             0.00041705,             0.00041705,             0.00041705
                     85,                0.94327,                0.64181,                 1.0373,                0.79787,                0.68226,                0.74833,                 0.4415,                  1.509,                 1.1507,                 1.3804,             0.00041105,             0.00041105,             0.00041105
                     86,                0.94876,                0.65803,                 1.0217,                0.77001,                0.69057,                0.75308,                0.44671,                 1.5099,                 1.1057,                 1.3855,             0.00040505,             0.00040505,             0.00040505
                     87,                 0.9321,                0.63337,                 1.0109,                0.79767,                0.65213,                0.70842,                0.42947,                 1.4963,                  1.133,                 1.3922,             0.00039905,             0.00039905,             0.00039905
                     88,                0.95874,                0.64395,                 1.0354,                0.77692,                0.67022,                0.72757,                0.43422,                 1.5024,                 1.1353,                 1.4067,             0.00039305,             0.00039305,             0.00039305
                     89,                0.95098,                0.64201,                 1.0393,                0.76712,                0.71493,                0.74805,                0.45203,                 1.4983,                 1.1015,                 1.3936,             0.00038705,             0.00038705,             0.00038705
                     90,                0.94591,                0.62374,                 1.0259,                0.80842,                0.69307,                0.73926,                0.44364,                 1.5047,                 1.0982,                 1.3802,             0.00038105,             0.00038105,             0.00038105
                     91,                0.94004,                0.64284,                 1.0259,                0.77771,                0.70648,                0.74745,                 0.4518,                 1.4919,                 1.0891,                 1.3721,             0.00037505,             0.00037505,             0.00037505
                     92,                0.95651,                0.63845,                  1.031,                0.75201,                0.67644,                 0.7299,                0.45146,                 1.4876,                  1.101,                 1.3959,             0.00036905,             0.00036905,             0.00036905
                     93,                0.91176,                0.61104,                 1.0127,                  0.808,                0.68815,                0.74321,                0.44846,                 1.5043,                 1.0963,                 1.4067,             0.00036305,             0.00036305,             0.00036305
                     94,                0.93917,                0.63905,                 1.0229,                0.78477,                0.69463,                0.74539,                0.45082,                 1.4869,                 1.1483,                 1.3937,             0.00035706,             0.00035706,             0.00035706
                     95,                0.91349,                0.61996,                 1.0189,                0.80673,                0.67657,                0.74158,                0.44982,                 1.4877,                 1.1233,                 1.3856,             0.00035106,             0.00035106,             0.00035106
